author,text,likes,date,sentiment,predicted_sentiment,sentiment_score
@Sriram-td1dk,From my view it’s right cost .. but my dad’s view it’s costly . - kindly change the logo for premium cars .,1,2022-02-13T08:54:20Z,Positive,neutral,0.5949795246124268
@yogeshchadha7025,any update on launch of safari petrol version ?,0,2022-02-12T08:35:38Z,Negative,neutral,0.9272935390472412
@munecaeburro,It looks like a Dacia Duster. Don’t you think?,0,2022-02-11T14:42:46Z,Negative,neutral,0.8700854778289795
@Me-ws5zt,"Who are you? 
I am Harrier 
Son of velar and safari.",0,2022-02-11T08:36:06Z,Negative,neutral,0.9030711650848389
@MrNitKap,Just got my zxa+ Adv Persona… didn’t go for black because in Indian weather somehow I just can’t come to terms with it. In ZXA+ model I miss the ventilated seats …that’s about it…,0,2022-02-11T07:10:42Z,Negative,negative,0.7110332250595093
@amarmehta3240,indian brands are ruling finally,0,2022-02-11T06:09:29Z,Negative,neutral,0.7373666167259216
@AnkitRoyAR,Oven-on-road in summers,0,2022-02-11T02:28:31Z,Negative,neutral,0.8506946563720703
@Abhej1t,Should do wonders in a tropical sunny country like ours.,0,2022-02-10T17:41:34Z,Negative,positive,0.8411203622817993
@hi2447,Maruti Suzuki 800ac review,1,2022-02-10T14:42:29Z,Negative,neutral,0.8962223529815674
@anantutube,Gold edition should also have been given black treatment,0,2022-02-10T14:04:05Z,Negative,neutral,0.7614502310752869
@Y2Kvids,I can see the safari ness,0,2022-02-10T13:17:07Z,Negative,neutral,0.7913720011711121
@mukherjeechandr379,"A lot of people are complaining about 360 degree camera and nicer infotainment, but only a fewer people know thats where Tata is earning money. 360 camera and better infotainment requires more semiconductor sensor chips and there has been a global shortage of it. Thats why XUV700 has waiting period of 15 months, where as Safari is available within 45 days. People who don’t wanna wait for 18 months are going for Safari and that’s where Tata is earning money. Thats called business.",0,2022-02-10T12:58:57Z,Positive,neutral,0.5674369931221008
@shariaronaleash,"NO 4WD NO AUTOMATIC BOOT... NO SPSCE FOR LUGGAGE - MARUTI XLR IS BETTER. VERY SAF TATA SAFARI JUST A BLACK SHINY EMPTY BOX.

ALL THAT GLITTERS IS NOT GOLD.

Rs 22 lakhs and no 4WD What a shame",0,2022-02-10T11:15:05Z,Positive,negative,0.6898061633110046
@kiranmathur,Lol another Paint Job in an Extended Harrier & Potray as if its a brand new vehicle & Hike the price 🤣🤣,0,2022-02-10T08:47:10Z,Positive,positive,0.47555917501449585
@vikassatyamurthy9464,Don’t know the obsession for black cars. They are the toughest to maintain. Even a small amount of dust stands out. Scratches highlight. Gets extremely hot inside if parked under sun. Black cars are a pain to maintain.,1,2022-02-10T07:49:32Z,Negative,negative,0.7209494113922119
@acrobat9018,The infotainment system 😣,1,2022-02-10T06:29:05Z,Negative,negative,0.799959659576416
@Mr_kk111,Can also be used as solar cooker 🤣,0,2022-02-10T04:09:25Z,Negative,neutral,0.502066969871521
@loo5erArkitekt,"yeah, make it all black... hide those ugly details",0,2022-02-10T04:03:58Z,Negative,negative,0.626427948474884
@vigneshlx4300,"I have booked safari dark over over Xuv 700:
1) Superb road presence.  Can compete with fortuner,  though it is a segment above.
2) Interior feels plush (except for poor infotainment system) due to soft touch materials used.
3) Get a 7 seater. Because safari is proper 7 seater or atleast you can use it as 6 seater by tumbling one side of the last row seat to increase the boot capacity. 

Do not buy 6 seater in safari or other cars, because in this segment, the last row is not so wide like fortuner or endeavors. And ultimately, you will be forced to use this 6 seater as 4 seater car due to compromised last row. 

This is unacceptable, if you fathom that triber or ertiga is good 7 seater than these cars are.

In case of Hector or alacazar, it is a 4 seater (if you are going for 6 seater configuration), because last row is barely usable. 
4) All features except for adas, are present in safari too. Bad impression comes due to infotainment systems.
5) JBL is very good over Sony speakers. It may seem weird, but park xuv700 and safari and play same song, you'll understand what I am saying. Somehow the bass and treble is better in JBL. Sony was just being loud than JBL. Quality was compromised.",16,2022-02-10T02:25:35Z,Positive,neutral,0.466267853975296
@rkg3902,Tata cars the best and safest,0,2022-02-09T23:43:41Z,Positive,positive,0.8956480026245117
@riddunyra4373,gold better than thieves black,0,2022-02-09T21:29:14Z,Positive,neutral,0.6422466039657593
@raviprasad6615,Amazing car,0,2022-02-09T19:41:24Z,Positive,positive,0.9206990599632263
@paramthetravelersingh7266,4*4 ?,0,2022-02-09T13:16:22Z,Negative,neutral,0.736840009689331
@muhammedrayif6087,Still miss a 4WD system,1,2022-02-09T13:10:22Z,Negative,neutral,0.4887046813964844
@Lonewolf9898,This colour makes safari true mafia car 😎,4,2022-02-09T10:48:51Z,Positive,positive,0.6916526556015015
@bhavesh6528,It's expensive .,0,2022-02-09T10:23:54Z,Negative,negative,0.7088392972946167
@SudhanshuSrivastava007,Touch screen display is very tiny and the steering is too heavy which needs their attention..hopefully they will work on these in upcoming update and then many buyers like me will buy this beast.,0,2022-02-09T09:56:15Z,Positive,positive,0.5115006566047668
@johndhillon99,front wheel drive SUV is same as big hatchback,0,2022-02-09T09:46:15Z,Negative,neutral,0.8200345039367676
@eprabhat,"Tata Safari need to match up to the equipment levels in the market from XUV700 , Alcazar and Carens",2,2022-02-09T07:36:58Z,Negative,neutral,0.8835576772689819
@vinothperumal8632,Super comment👍 😀,1,2022-02-09T07:32:58Z,Positive,positive,0.92389315366745
@ranjiebenezer9860,This car need a upgrade on they're infotainment system. They are so sad it's the only thing that will point you towards others cars,0,2022-02-09T07:10:45Z,Negative,negative,0.7396000027656555
@soumitrachatterjee4703,"Seriously, an update for the infotainment is required. And they should launch a petrol ASAP and crash test it. The reason they didn't do it in the diesel car is because it has a deadly problem, which can break the driver's knee in an event of head on collision. They realized this after they made the deal with Fiat for 70,000 diesel engines. Seriously, they should at least add 360-degree camera. Addition of ADAS would be nice, but addition of the more basic and fundamental features would be great. Especially if they want to boost sales.",2,2022-02-09T07:05:32Z,Positive,neutral,0.462738960981369
@aryasalona,Petrol engine and large screen will make it good option,0,2022-02-09T06:45:06Z,Positive,positive,0.8044070601463318
@JetsetPilot,"They really need to upgrade the models or they must be ready give up their position to Mahindra and others. 
Look at the xuv700 what 
 big hit it has become. 1lac plus bookings. 
I really don’t think so Tata will be able to sell as much as Xuv’s as its pricier and feature.
They should accept it as a challenge 
Add the All LED lights , better infotainment, should also revise the price.",1,2022-02-09T06:11:34Z,Positive,neutral,0.5676161050796509
@himanshuohlyan,atleast give awd in black addition,0,2022-02-09T05:57:06Z,Negative,neutral,0.7987712621688843
@adityat5905,"Infotainment system needs a complete overhaul..
Electronic steering wheel..(or option of steering modes)
A little more power/torque (180/375) .... just an example i felt my safari a bit underpowered with full load.. 
Better HeadLamps..
360 cam
Ventillated seats and wireless charger (in standard colours also).. I think they have started doing this!
Option of 4x4 (not for me)..

IF TATA EVER DID THESE THINGS TO SAFARI (with increasing proice ofcourse) ,IT WILL BECOME A VIABLE REPLACEMENT OF FORTUNER!!

These are the reasons why XUV 700 has a waiting period of 15-18 months..!!


naya colour dene se kaam nai chalega😂😂",3,2022-02-09T05:54:03Z,Positive,neutral,0.5262548327445984
@siddhantrs4545,they should have given alcantara leather seats.....,0,2022-02-09T05:06:27Z,Negative,neutral,0.637126088142395
@arunachalkradadi6617,My dream car,0,2022-02-09T03:34:58Z,Negative,positive,0.7474896311759949
@MultiSathyaa,Except lights all other things ate darked out.....nothing new....samae old shit.,0,2022-02-09T03:07:46Z,Negative,negative,0.7563815116882324
@friendbuddy4171,any news regarding 4*4 safari ?,0,2022-02-09T03:07:29Z,Negative,neutral,0.8989511728286743
@yashraj8051,Wireless charging? 🔋⚡,1,2022-02-09T02:58:17Z,Negative,neutral,0.7813470959663391
@rubanvinodhkhar3837,Why us the headlamp internal bezel missing the black?,0,2022-02-09T02:20:08Z,Negative,neutral,0.6239749789237976
@sidd4419,"Better infotainment system, AWD, ADAS, full LED headlamps, 360° parking camera and ventilated seats will make the safari much more premium and appealing.",6,2022-02-09T02:17:53Z,Positive,positive,0.889272153377533
@decafam3410,"I think you could bring this to the US and it would do well on design alone, I don't know about everything you can't see under the skin, but if it is up to highway and crash standards - I don't see why this couldn't sell well",4,2022-02-09T01:42:39Z,Negative,neutral,0.5465558171272278
@samueltanpu1978,"Tata could have changed their infotainment system, in every Tata it is same so. Doesn't means it's not good but...",0,2022-02-09T01:39:24Z,Negative,neutral,0.5545064806938171
@preethamkonda5011,"Looks good but no AWD, 360 CAMERA, ADAS, BIG TOUCH SCREEN",0,2022-02-09T01:34:42Z,Positive,positive,0.8347107172012329
@anandkandadainarasimhan8839,4WD anyone?,0,2022-02-09T01:04:30Z,Negative,neutral,0.8785930871963501
@sangeethsuresh9320,"Well the new dark edition of the tata safari looks very good. Both the interior and exterior looks great in black. 
However tata could have upgraded the interior infotainment system by giving a larger touch screen and also More features could have added to.",4,2022-02-09T00:44:28Z,Positive,positive,0.9715776443481445
@DavidK16,Infotainment is what I hate in this car as well as steer handling.,0,2022-02-08T21:47:11Z,Negative,negative,0.9794390797615051
@kostinarain7373,Waiting for the petrol,0,2022-02-08T20:15:58Z,Negative,neutral,0.7304697632789612
@dr.farmer221,Excellent look,0,2022-02-08T20:13:08Z,Positive,positive,0.8095270395278931
@aniketsanjayshirsekar7932,Yes Tata safari should get a alloys wheel design change and has well has thee infotainment system more bigger and Ambien lights . Bcz alloys wheel don't look that great  . And a longer wheel base in future update.,0,2022-02-08T19:57:59Z,Positive,neutral,0.517792284488678
@ullas2cool,"What happend to safari, 6ft person used to look tiny in front of old safari. Now it looks like the person can look on the roof without stretching legs.",2,2022-02-08T19:46:44Z,Positive,neutral,0.621379554271698
@sreekanths1817,TATA ❤️,0,2022-02-08T18:59:36Z,Negative,positive,0.8145369291305542
@ishanraj2998,tata give a new infotainment system i will buy it next day ❤,0,2022-02-08T18:57:23Z,Positive,positive,0.9600697159767151
@pritpalsingh5844,"Hi, Autocar India, for a very nice review of TATA Safari Dark edition. Once again TATA Motors misses out the all White LED Headlights & Fog Lights, instead of Yellow Halogen Lights, second why 18"" alloys wheels?, instead of bigger 20"" gun metal alloys. Rest, very good looking vehicle. Same thing is in TATA Punch & it's siblings like Harrier, Tiago. Tigor, Altroz. Why? Is TATA Motors is listening to its customers.",1,2022-02-08T18:55:34Z,Positive,positive,0.7152853012084961
@amitkumarsingh1978,"It's very costly due to engine source from fiat and gearbox source from Hyundai. 

Tata should develope own engine and gearbox. In that case it will offer less price to the customer.",1,2022-02-08T18:50:21Z,Positive,negative,0.5541622638702393
@ronaldmichael6970,Beautiful.,1,2022-02-08T18:48:36Z,Positive,positive,0.9154168367385864
@sanjay33246,"Everything is ok and awesome until u change ur old fashioned tata logo into something like mahindra xuv700(I MEAN MUCH BETTER)
You have alot of logo options STARTING WITH T.

So please do it and it will change the brand value",0,2022-02-08T18:35:47Z,Positive,positive,0.6842831373214722
@zenjm6496,What will it take for Tata to go to Harmen Kardon  and ask them to create a big and beautiful looking infotainment system which is lag free? The current one looks like a grandpa wearing oversized suit! That big a bezel belongs in cars that are at least 5 years old!!,2,2022-02-08T18:35:22Z,Positive,positive,0.6019196510314941
@ankitmahapatra8921,Take a shot everytime he says Dark or black,0,2022-02-08T18:32:47Z,Negative,neutral,0.8838194608688354
@meher_pratap,360 cameras and better infotainment is all this car needs. Mahindra still has to catch up on the ventilated seats front. Otherwise quite happy with where Indian motoring brands are heading. 👍🏼,5,2022-02-08T18:17:24Z,Positive,positive,0.8669964671134949
@adithyaunnikrishnan3732,"What's the need for ""dark"" & other editions that only have subtle cosmetic changes over the regular car? Infotainment is still tiny ,no off-road capabilities and no creature comforts vs it's rivals.",0,2022-02-08T18:07:06Z,Negative,negative,0.5260372757911682
@AliKhan-ww2gr,Looking beautiful safari.,0,2022-02-08T18:04:23Z,Positive,positive,0.9606599807739258
@ssawian,Tall boy makes Safari look small 😄,0,2022-02-08T17:58:39Z,Negative,neutral,0.5747780203819275
@Vatchman,Well-done TATA 👍,2,2022-02-08T17:57:05Z,Negative,positive,0.8788202404975891
@shrikantkulkarni24_7,"TATA even blacked out the hope of their near future customers, all they wanted was a 360 cam, should have a larger and good quality infotainment display but unfortunately, they're not gonna get it in this truly 'blackout' edition.",7,2022-02-08T17:56:11Z,Positive,negative,0.6819344162940979
@uthams2,"The procurement team has bought black paint in bulk, so each time they need to boost sales they come up with Dark edition",101,2022-02-08T17:55:15Z,Negative,neutral,0.8624449372291565
@rraj29,"Headlight looks awkward,  it should have blackened inside",0,2022-02-08T17:53:56Z,Negative,negative,0.8289579749107361
@peanutputtervlogs5925,"Mahindra - "" Let's introduce a revolutionary SUV to attract more customers.""
Tata - ""Let's introduce another colour to sell more SUVs.""",2,2022-02-08T17:49:13Z,Positive,neutral,0.5678269863128662
@rishiremju,No point in all this! Bring the AWD! That’ll make this dominate the market!,0,2022-02-08T17:42:03Z,Negative,positive,0.5077463388442993
@ijs_autoandmore,Meanwhile people in India waiting for TATA to launch -- Safari dark edition petrol CNG 😎😎😂😂,0,2022-02-08T17:41:54Z,Negative,neutral,0.6717150807380676
@sachu202,"Since when did black paint become so exclusive? Usually capable manufacturers release special edition with some special tuning or performance upgrade but here we see applying black everywhere as shown as some new car. 

Atleast some feature upgrade would have done justice.",0,2022-02-08T17:36:10Z,Positive,neutral,0.47095879912376404
@Reimagine_autos,Beauty!,0,2022-02-08T17:26:11Z,Negative,positive,0.8825231790542603
@drsiddysadventures551,AWD need of the hour,0,2022-02-08T17:26:00Z,Negative,neutral,0.8126324415206909
@Quantum-Medicine,Dashboard not good look.,0,2022-02-08T17:25:19Z,Negative,negative,0.9321142435073853
@MrSanjeevakarunakar,"I would have really appreciated a carbon finish to make it stand out!! with the Endeavor out of production, the 'Big Butch' space is open with only the Fortuner in that space..",4,2022-02-08T17:23:55Z,Positive,positive,0.7010564208030701
@234nitesh,Can't understand the fascination for dark edition...rather improve the interiors...black interior is terrible for hot and mosquito filled environments of ours,7,2022-02-08T17:05:42Z,Negative,negative,0.8818316459655762
@BaghyarajanMuraliKrishnan,What's missing is a Proper 4x4 or atleast an Awd.,0,2022-02-08T17:04:23Z,Negative,neutral,0.6921382546424866
@shashikantganesh6699,That time has come Tata Safari to be electrical car,0,2022-02-08T17:03:53Z,Negative,neutral,0.8641085624694824
@vmuthu100,Worthy,0,2022-02-08T17:02:41Z,Positive,neutral,0.5990082025527954
@pawmah602,Tata Punch Dark will be Dope 😊🔥🔥🔥,2,2022-02-08T17:01:05Z,Negative,positive,0.8692300319671631
@avinashkalwani2267,"I just can't get over the ugly headlights.,infotaintment system is subpar and Mahindra makes this look waste of money,apart from looks and stance nothing much going for it",0,2022-02-08T16:50:53Z,Negative,negative,0.9619406461715698
@namanrao1103,The safari looks short in front of JAY PATIL!,1,2022-02-08T16:49:47Z,Negative,neutral,0.6534066796302795
@DKRamnani,"Safari and harrier needs a new infotainment system, steering and ADAS to complete with XUV700",6,2022-02-08T16:44:51Z,Positive,neutral,0.8212894201278687
@mamba.619,2.7 ltd engine and all wheel drive,0,2022-02-08T16:42:05Z,Negative,neutral,0.8756956458091736
@Aditya-kl1xv,Dark edition look's like a range rover,0,2022-02-08T16:38:46Z,Negative,neutral,0.7541497349739075
@centurygc,Shooted at Pan Card Club Pune,0,2025-09-25T13:25:48Z,Negative,neutral,0.8910747766494751
@avinashjadhav6954,Bhai SERVISING ki BOHOT camplent aa rahi hai. Esko bhi dekho jara....🙏🙏🙏,1,2025-05-20T18:25:13Z,Negative,positive,0.5667014122009277
@AKSH6591,Bhai 9 speaker aate acoomplished me,0,2025-03-01T13:48:31Z,Negative,neutral,0.8192023038864136
@rushikeshgaikwad2506,Is it top model,0,2024-10-29T06:28:04Z,Positive,neutral,0.8389468193054199
@jsvigneshwaran,Safari the great SUV !,0,2024-10-26T03:58:57Z,Positive,positive,0.9133013486862183
@sathisham9087,Nice Review 👌🙏,0,2024-10-02T16:40:17Z,Positive,positive,0.9409048557281494
@akash6327,I have watched 100's of review to book this safari... Ab har cheese ratt gaya he muje.. trust me this guys review is amazing.. crisp and perfect,1,2024-09-08T19:50:41Z,Positive,positive,0.9630882143974304
@anaznebrahim,Does it have uv cut glass,0,2024-07-29T07:17:25Z,Negative,neutral,0.8461092710494995
@kartiksolanki3452,Better I'll buy used pajero sport,0,2024-07-25T04:59:44Z,Positive,neutral,0.6920779347419739
@bhoolkumayur,"Short and sweet but you give the exact details what people want to know, great job . Thank you very much and keep it up",0,2024-07-25T04:01:19Z,Positive,positive,0.973785936832428
@somilbijur8137,Bro called safari affordable 😅,0,2024-07-09T10:45:30Z,Negative,positive,0.535201370716095
@yashkhelkar,Lord aulto is the king of urban jungle.,0,2024-06-15T04:09:41Z,Negative,neutral,0.7347435355186462
@hemendramshah,Does it have inbuilt DashCam ..Front & Rear ?,0,2024-04-22T15:03:12Z,Negative,neutral,0.919106125831604
@ksnapperrocks254,"Thoda khana kha k video bana lete

 jk 😂",1,2024-04-22T14:56:42Z,Negative,neutral,0.7486836314201355
@gopakumarsudhir4766,"I wonder why you keep driving on the right side of the road. That is a bad habit. Please don't post videos showing this and people watching this might think that it is cool to do that. 
Driving on the wrong side of the road is dangerous and may cost lives.",2,2024-03-17T14:56:17Z,Negative,negative,0.8872067332267761
@lalruatfela3394,"You've got a new subscriber.
Do something no other YouTuber has done(hoping your friend allows) - do a capability test with regards to offroad for the Safari. Many people, even those that do not specifically want a 4x4 are apprehensive of buying it because of its FWD system. This includes those from the hills where they have to tackle the occational muddy roads and landslide damaged roads. 
Do a follow up video on this.",2,2024-03-06T10:05:05Z,Positive,negative,0.4853268563747406
@SuitableProfessor,Pay 30+ lakh of hard earned money for an unreliable piece of s@@t. Do read up teambhp the new safari was completely dismantled.,0,2024-03-05T10:33:48Z,Negative,negative,0.7709999084472656
@Adwatism,Lmao more like King of Unreliable and electronic issues even after having Hyundai Transmission 💀💀,2,2024-03-05T05:21:15Z,Positive,negative,0.558134138584137
@arjunraguram7449,We need a review on the Scorpio N too…,2,2024-03-05T04:31:44Z,Negative,neutral,0.9087627530097961
@prateekjain7030,Hatchback on steroids with panel gaps 😂😂😂,6,2024-03-05T03:21:42Z,Negative,neutral,0.5125701427459717
@shivendrasharma3299,"170 bhp 350 nm torque arent impressive numbers ?

Are you joking ?",3,2024-03-04T23:02:29Z,Positive,negative,0.5177749991416931
@TTTrainTTT,The worst car money can buy.,5,2024-03-04T21:36:36Z,Negative,negative,0.946232259273529
@Tej132,The infotainment system is laggy,7,2024-03-04T17:32:48Z,Negative,negative,0.9343878626823425
@cyrilmatthew2995,"Most reviewers failed to educate masses about drivetrain configuration or layout ....
Previous safari was a body on frame chasis vehicle with a longitudinally mounted engine ( rear wheel drive paltform ) with 4 wheel drive integration .... I am assuming the previous safari has low range gear ratios as well as locking differentials ...
But the new safari is a monocoque -  (car like) chassis with a frint wheel drive based layout where engine is mounted transversely or sideways with all wheel drive integration.... So it's basically an front wheel biased druve train whwre engine senrs mote power to front wheels .... Its nit a typical 4*4 odf road worthy ...
Plus i know harrier has an inferior torsion beam rear suspension thats a big - a huge let down..new safari too had the same i guess....",5,2024-03-04T17:20:33Z,Positive,negative,0.5627045035362244
@ashrafkadakkodu9511,Bro pls do it. 120 N line manual review,4,2024-03-04T17:13:45Z,Negative,neutral,0.8308836817741394
@shreyasbaviskar5935,tata should have a safari storme classic like mahindra scorpio classic,43,2024-03-04T16:36:49Z,Positive,neutral,0.8643391728401184
@autocarindia1,Read the full review of the new Tata Safari here - https://www.autocarindia.com/car-reviews/tata-safari-facelift-review-flagship-suv-goes-more-upmarket-429549,10,2023-10-15T10:36:40Z,Positive,neutral,0.8675307631492615
@prateeksrivastava386,tata designs are ahead,0,2025-04-25T09:40:05Z,Negative,neutral,0.6635069251060486
@hinduraj3744,Front look same in all new tata models 😂,1,2025-03-24T03:17:14Z,Positive,neutral,0.7523185610771179
@prateeksrivastava386,"actual cost of car , not more than 16 -  20 lacs ₹  ...... cost of car  is 10 lacs  ₹ costlier ..... segment of ford escape",0,2025-02-10T12:56:34Z,Negative,neutral,0.5295488834381104
@peacetokyo,"Any insight if there would be a AWD ver anytime in the future, w/o that this so called SUV is a definite no no..",0,2025-02-09T01:48:29Z,Negative,neutral,0.525271475315094
@capricioustraveller,"Safari fans, assemble! 🚙 After an epic 21,000 km journey with my beast, including an unforgettable 8,000 km North East road trip over 35 days, I can confirm: this SUV has a personality of its own. 😅 Loved Autocar India take — they’ve nailed the essence of the Safari! Sharing my detailed ownership journey and road trip adventures on my channel if you're curious about the long-term quirks and joys of Tata's flagship! 🙌",2,2025-01-21T21:24:43Z,Positive,positive,0.9777768850326538
@TJSaw,Cheap quality plasticky interiors. Expected more. XUV700 still the better choice.,0,2024-12-17T08:45:06Z,Positive,neutral,0.440018892288208
@RrajendraYn,safari is a great suv.,0,2024-12-17T07:04:11Z,Positive,positive,0.9517492055892944
@MiniMind_Challenges,"Hi there we are planning to buy Tata Safari Accomplished Plus 6S(AT) in Jan or Feb as 2025 Model will be out, we now own Toyota Innova (2008) and i need some opinions because i saw of a lot of bad comments on the safari, so i def need some customer reviews of long term people who own them since an year or so small glitches doesn't bother me @autocarindia1",0,2024-12-08T14:48:47Z,Positive,neutral,0.5174727439880371
@Eduspark247,Ram ram,0,2024-12-01T23:24:55Z,Negative,neutral,0.732986330986023
@rajarammnellai,Premium car with poorest service. Tata is big scammer,0,2024-11-10T02:24:18Z,Negative,negative,0.8879653811454773
@sophiaroychoudhury2997,Can you please compare this with the Scorpio-N?,0,2024-09-29T12:27:56Z,Negative,neutral,0.9118248224258423
@ShivrohitVanagondi,"Hi there, I watched your videos on YouTube and think you might be able to help me with some questions. I’m considering the Safari, XUV700, and Scorpio N for my needs. I have a large family of seven, and I plan to travel across India—not to extreme locations like deserts, but to places like Ladakh, Spiti, and Manali where there might be snow and black ice.

I’m wondering if the Safari will be suitable for these conditions or if I should opt for the XUV700 with all-wheel drive or the Scorpio N with 4x4. I’m leaning towards the Safari due to its impressive road presence and comfort, but the XUV700 is appealing for its performance. However, I’m also concerned about the reliability of Tata cars. Do you think the Safari is reliable? If you were choosing a new car, would you go for the Safari or a Mahindra model?",1,2024-09-01T06:36:09Z,Positive,neutral,0.5328294038772583
@anaznebrahim,Does it have uv cut glass,0,2024-07-29T07:10:47Z,Negative,neutral,0.8461092710494995
@Ironmishra123,"Tbh the og tata safari storme just cant be replaced 
Just saying the looks were just better than this one",0,2024-07-18T15:52:47Z,Positive,neutral,0.43219122290611267
@kausthubking1972,"Only the power and the metal that's used would last, all the gizmos, internal upholstery, and even the GREAT TATA RUST haunts this vehicle as ever😂😂😂, nice review ALBEIT🙌",1,2024-07-04T15:31:22Z,Positive,positive,0.8520213961601257
@the_law_student8402,4*4 hoti toh maza aaja ta,0,2024-05-11T09:27:10Z,Negative,neutral,0.8217113614082336
@shashankshekhar6801,❤❤,0,2024-05-03T11:23:18Z,Negative,positive,0.8871870040893555
@vishalhunalli8525,We would love to see old safari storm and Hexa come back,0,2024-04-10T08:12:10Z,Positive,positive,0.9419251084327698
@huzaifakhan735,Is it 4x4 or AWD,0,2024-03-17T19:07:47Z,Negative,neutral,0.9173887372016907
@DeepakKumar-vx3qu,steals my heart everytime i see it... love the new safari!,0,2024-02-26T07:42:21Z,Positive,positive,0.9914427399635315
@kumarjitsaha3541,Brilliant  job Tata.,0,2024-02-25T11:29:23Z,Positive,positive,0.8597033023834229
@jazimjaz4627,Tata must change their  premium  cars logo . Like what Mahendra  did,1,2024-02-24T15:41:09Z,Negative,neutral,0.7832415699958801
@Sunil-zy6wr,Why is Tata vehicles are not so much developed in South Africa,0,2024-02-08T20:28:54Z,Positive,negative,0.5233322978019714
@FilippoBaio,È possibile importarla in Italia?,0,2024-02-08T09:31:13Z,Negative,neutral,0.8690411448478699
@JackOfAllCars.,Give it atleast Rear wheel drive please tata,0,2024-02-05T14:32:08Z,Negative,neutral,0.7991098165512085
@abhiramshriram4130,for connivence i might buy the automatic but mostly i see people driving in the cities for convenience but the manual is better and good responses than   the automatic since mostly i would drive for long distances and manual gives better milage than the automatic,0,2024-02-03T15:20:06Z,Positive,positive,0.6629758477210999
@vrentertainment.3919,"Just bought safari last month it feels like I am driving 1cr car , the way people give reaction to my car in roads❤❤",1,2024-01-29T15:57:00Z,Negative,positive,0.8392326831817627
@abhishekjetely,Everything is so good. But please @tata bring physical buttons back. It’s a lot of distraction while driving,0,2023-12-22T05:09:09Z,Positive,positive,0.7474836707115173
@chandutomaz,The touchscreen is very basic. Real dud for this price point,0,2023-12-19T16:06:06Z,Positive,negative,0.8469846248626709
@sauravkr,"Why does the Safari always makes more noise and vibrates while reversing, even on flat surface?",0,2023-12-09T11:09:01Z,Positive,negative,0.8227489590644836
@Madmax-jz2ik,"The old design has that presence known on the road , sadly this new design doesn't compliment the legend",0,2023-11-26T04:21:03Z,Negative,negative,0.595268726348877
@neerajyarlagadda7926,Will facelift gets red dark,0,2023-11-19T12:33:11Z,Negative,neutral,0.8958219289779663
@ConsultantDoc500,"With an extensive test drive just a few days back........I sincerely accept that the new Tata Safari definitely has improved a lot in the areas of noise, vibration and harshness moreover the overall refinement of smoothness off the engine at Decent speeds has been really appreciable and satisfactory",27,2023-10-24T19:16:56Z,Positive,positive,0.9643967151641846
