index,text,fear,anger,anticipation,trust,surprise,positive,negative,sadness,disgust,joy
48,"Infotainment system needs a complete overhaul..
Electronic steering wheel..(or option of steering modes)
A little more power/torque (180/375) .... just an example i felt my safari a bit underpowered with full load.. 
Better HeadLamps..
360 cam
Ventillated seats and wireless charger (in standard colours also).. I think they have started doing this!
Option of 4x4 (not for me)..

IF TATA EVER DID THESE THINGS TO SAFARI (with increasing proice ofcourse) ,IT WILL BECOME A VIABLE REPLACEMENT OF FORTUNER!!

These are the reasons why XUV 700 has a waiting period of 15-18 months..!!


naya colour dene se kaam nai chalega😂😂",0.0,0.125,0.125,0.125,0.125,0.5,0.0,0.0,0.0,0.0
52,any news regarding 4*4 safari ?,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,"Better infotainment system, AWD, ADAS, full LED headlamps, 360° parking camera and ventilated seats will make the safari much more premium and appealing.",0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0
60,"Well the new dark edition of the tata safari looks very good. Both the interior and exterior looks great in black. 
However tata could have upgraded the interior infotainment system by giving a larger touch screen and also More features could have added to.",0.0,0.0,0.1,0.25,0.1,0.2,0.05,0.1,0.15,0.05
64,Yes Tata safari should get a alloys wheel design change and has well has thee infotainment system more bigger and Ambien lights . Bcz alloys wheel don't look that great  . And a longer wheel base in future update.,0.3333333333333333,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0
65,"What happend to safari, 6ft person used to look tiny in front of old safari. Now it looks like the person can look on the roof without stretching legs.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,"Hi, Autocar India, for a very nice review of TATA Safari Dark edition. Once again TATA Motors misses out the all White LED Headlights & Fog Lights, instead of Yellow Halogen Lights, second why 18"" alloys wheels?, instead of bigger 20"" gun metal alloys. Rest, very good looking vehicle. Same thing is in TATA Punch & it's siblings like Harrier, Tiago. Tigor, Altroz. Why? Is TATA Motors is listening to its customers.",0.1111111111111111,0.1111111111111111,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0,0.0,0.1111111111111111
76,Looking beautiful safari.,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5
77,Tall boy makes Safari look small 😄,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.3333333333333333,0.0
84,Meanwhile people in India waiting for TATA to launch -- Safari dark edition petrol CNG 😎😎😂😂,0.0,0.0,0.5,0.0,0.0,0.25,0.0,0.25,0.0,0.0
92,That time has come Tata Safari to be electrical car,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,The safari looks short in front of JAY PATIL!,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,"Safari and harrier needs a new infotainment system, steering and ADAS to complete with XUV700",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
104,Safari the great SUV !,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106,I have watched 100's of review to book this safari... Ab har cheese ratt gaya he muje.. trust me this guys review is amazing.. crisp and perfect,0.0,0.0,0.14285714285714285,0.42857142857142855,0.0,0.14285714285714285,0.14285714285714285,0.0,0.0,0.14285714285714285
110,Bro called safari affordable 😅,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115,"You've got a new subscriber.
Do something no other YouTuber has done(hoping your friend allows) - do a capability test with regards to offroad for the Safari. Many people, even those that do not specifically want a 4x4 are apprehensive of buying it because of its FWD system. This includes those from the hills where they have to tackle the occational muddy roads and landslide damaged roads. 
Do a follow up video on this.",0.14285714285714285,0.07142857142857142,0.07142857142857142,0.14285714285714285,0.07142857142857142,0.07142857142857142,0.21428571428571427,0.07142857142857142,0.07142857142857142,0.07142857142857142
116,Pay 30+ lakh of hard earned money for an unreliable piece of s@@t. Do read up teambhp the new safari was completely dismantled.,0.0,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.1111111111111111,0.2222222222222222,0.1111111111111111,0.0,0.0,0.1111111111111111
123,"Most reviewers failed to educate masses about drivetrain configuration or layout ....
Previous safari was a body on frame chasis vehicle with a longitudinally mounted engine ( rear wheel drive paltform ) with 4 wheel drive integration .... I am assuming the previous safari has low range gear ratios as well as locking differentials ...
But the new safari is a monocoque -  (car like) chassis with a frint wheel drive based layout where engine is mounted transversely or sideways with all wheel drive integration.... So it's basically an front wheel biased druve train whwre engine senrs mote power to front wheels .... Its nit a typical 4*4 odf road worthy ...
Plus i know harrier has an inferior torsion beam rear suspension thats a big - a huge let down..new safari too had the same i guess....",0.07142857142857142,0.0,0.0,0.07142857142857142,0.07142857142857142,0.2857142857142857,0.35714285714285715,0.07142857142857142,0.0,0.07142857142857142
125,tata should have a safari storme classic like mahindra scorpio classic,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
126,Read the full review of the new Tata Safari here - https://www.autocarindia.com/car-reviews/tata-safari-facelift-review-flagship-suv-goes-more-upmarket-429549,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
131,"Safari fans, assemble! 🚙 After an epic 21,000 km journey with my beast, including an unforgettable 8,000 km North East road trip over 35 days, I can confirm: this SUV has a personality of its own. 😅 Loved Autocar India take — they’ve nailed the essence of the Safari! Sharing my detailed ownership journey and road trip adventures on my channel if you're curious about the long-term quirks and joys of Tata's flagship! 🙌",0.17647058823529413,0.058823529411764705,0.11764705882352941,0.058823529411764705,0.11764705882352941,0.29411764705882354,0.058823529411764705,0.0,0.0,0.11764705882352941
133,safari is a great suv.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
134,"Hi there we are planning to buy Tata Safari Accomplished Plus 6S(AT) in Jan or Feb as 2025 Model will be out, we now own Toyota Innova (2008) and i need some opinions because i saw of a lot of bad comments on the safari, so i def need some customer reviews of long term people who own them since an year or so small glitches doesn't bother me @autocarindia1",0.08333333333333333,0.08333333333333333,0.16666666666666666,0.08333333333333333,0.0,0.16666666666666666,0.25,0.08333333333333333,0.08333333333333333,0.0
138,"Hi there, I watched your videos on YouTube and think you might be able to help me with some questions. I’m considering the Safari, XUV700, and Scorpio N for my needs. I have a large family of seven, and I plan to travel across India—not to extreme locations like deserts, but to places like Ladakh, Spiti, and Manali where there might be snow and black ice.

I’m wondering if the Safari will be suitable for these conditions or if I should opt for the XUV700 with all-wheel drive or the Scorpio N with 4x4. I’m leaning towards the Safari due to its impressive road presence and comfort, but the XUV700 is appealing for its performance. However, I’m also concerned about the reliability of Tata cars. Do you think the Safari is reliable? If you were choosing a new car, would you go for the Safari or a Mahindra model?",0.058823529411764705,0.0,0.11764705882352941,0.23529411764705882,0.0,0.35294117647058826,0.058823529411764705,0.11764705882352941,0.0,0.058823529411764705
140,"Tbh the og tata safari storme just cant be replaced 
Just saying the looks were just better than this one",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
144,We would love to see old safari storm and Hexa come back,0.0,0.25,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.25
146,steals my heart everytime i see it... love the new safari!,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5
153,"Just bought safari last month it feels like I am driving 1cr car , the way people give reaction to my car in roads❤❤",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
156,"Why does the Safari always makes more noise and vibrates while reversing, even on flat surface?",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
159,"With an extensive test drive just a few days back........I sincerely accept that the new Tata Safari definitely has improved a lot in the areas of noise, vibration and harshness moreover the overall refinement of smoothness off the engine at Decent speeds has been really appreciable and satisfactory",0.125,0.125,0.0,0.0,0.0,0.5,0.25,0.0,0.0,0.0
160,"Dear bro you rightly pointed out in this video review that the autonomous emergency braking is not working at all........While, all other  ADAS features are working up to the mark and as expected I to had an extensive test drive of the Tata Safari accomplished plus variant on Saturday that is 21st October and was really disappointed by only one feature not working that is autonomous emergency braking which I tried on the highway........even in the suburban areas and the SUV never stopped on its own......",0.09523809523809523,0.047619047619047616,0.047619047619047616,0.0,0.09523809523809523,0.3333333333333333,0.14285714285714285,0.14285714285714285,0.047619047619047616,0.047619047619047616
161,"From the days of the Indica Tata has come a Looong way.

This Safari wouldn't be out of place.anywhere in the world.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
167,Congrats safari and harrier for 5 star ⭐⭐⭐⭐⭐ from GNCAP,0.0,0.0,0.25,0.25,0.0,0.25,0.0,0.0,0.0,0.25
170,"No RWD , no 4WD , doesn't like to be revved .... This can't be SUV .... I don't think it's doing justice to the Safari legacy..... Of course, look wise awesome",0.0,0.0,0.0,0.3333333333333333,0.0,0.6666666666666666,0.0,0.0,0.0,0.0
172,Bhai safari pe Dil AA Gaya,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
177,"it is an oversized MUV. Does not even have 4x4

Safari badge is not suited for this.",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
182,"Alloy are very bad in Nexon , harrier, Safari",0.2,0.2,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.0
183,Safari the king ❤,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
195,"Tata Safari pros and CONS: 
1. Absolutely brilliant build quality , second to none 
2. Brilliant ride , handling and comfort 

CONS: 
1. Disastrous Reliability 
2. Disastrous After Sales Service 
3. Disastrous Mileage 
4. Disastrous Paint Quality 
5. Exceptionally Highest Part replacement cost with service cost",0.0,0.0,0.2222222222222222,0.2222222222222222,0.0,0.3333333333333333,0.0,0.0,0.0,0.2222222222222222
196,Hybrid version of safari will be a great move considering the current norms on the diesel engines.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198,Tata has done a great job of sending even more Safaris to Service Centre...,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
200,Any plans for Safari to come with the hybrid model?,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
201,I refuse to accept it as a true safari until its gets 4x4 until then its a Harrier with Back Hump😅,0.0,0.0,0.0,0.25,0.0,0.25,0.25,0.0,0.0,0.25
210,"Tata, the absence of physical buttons is a deal-breaker for me. While I was excited about considering the Harrier or a Safari, I prioritize safety and convenience. Despite Tata's excellent crash ratings, I have 15 years of driving experience in basic cars like the 800 and Alto, which lacked safety features. This has made me a cautious driver. For the past five years, I've enjoyed the security of advanced safety features, so fumbling with non-physical controls and diverting my attention from the road doesn't make sense. I'll have to pass on these vehicles.",0.13043478260869565,0.0,0.08695652173913043,0.13043478260869565,0.08695652173913043,0.30434782608695654,0.08695652173913043,0.08695652173913043,0.0,0.08695652173913043
211,It looks like Tata motors intentionally make safari more good looking than Harrier.,0.0,0.0,0.2,0.2,0.2,0.2,0.0,0.0,0.0,0.2
213,They first need to make the Safari boxy again! It looks like a toy.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
215,"After so many upgrades in safari series. It's surprisingly still not close perfect. 
White seat covers in a Sports Utility Vehicle is just senseless. Glossy touch panels hard to use are also unsafe and scratch prone. I also wouldn't like to scratch my phone on that wireless charger. Sunroof being India's big demand is just useless again. 
Paddle shifters also don't seem to work well. Will have to wait for another upgrade.",0.08,0.12,0.16,0.08,0.12,0.12,0.2,0.04,0.04,0.04
218,"Love or hate the usage of the badge Safari, but you can't ignore the sheer road presence and awesome look of this car",0.125,0.125,0.0,0.125,0.0,0.125,0.25,0.125,0.125,0.0
222,Is it a frame on ladder retaining safari dna! Is it high seating? Why can't tata offer flush centre dash display instead of a prime tive ugly display screen sticking out. Ugly steering. Can you down shift with paddle shifter with braking ?,0.0,0.0,0.14285714285714285,0.0,0.0,0.5714285714285714,0.14285714285714285,0.0,0.14285714285714285,0.0
223,Still love the dicor variant of the Safari. That looked like a proper Indian suv.,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.3333333333333333
224,i dont think safari can still match with 700  when it comes to ride and handlng.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
226,Always Safari❤,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
227,Wonderful Video with great perspective for someone trying to decided between Safari and Harrier,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
229,And here is the full Safari review off the road - https://www.youtube.com/watch?v=VYRE8eoLyJc,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
230,Bhai mujhe samajh nhi aa rha hai ki mai Safari lu ki Herrier dono ki XT+ varients lunga aap log mujhe btao ki mai kaunsi car lu plz btao 🙏,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
231,Good information if you can stretch safari makes better with additional features stil missing some features 360 camera which is must for such a big vehicle,0.25,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.0,0.0
232,Old tata safari had its own iconic look🔥 which is now gone.. Though the front design which is same as harrier is great but considering the history of safari and its features tata didn't gave safari its own characteristic look or even a modified version of old one which could bi so good if implemented . now its a like harrier pro or plus version model.. ( hyundai also did that in case of alcazar ),0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.0,0.1111111111111111
235,"Harrier seats folded are not flat, whereas Safari seats when folded are absolutely flat.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
236,In back and side profile harrier looks more aggressive than safari .... It looks very stunning 😍😍,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0
237,Harrier also get all wheel disc brakes now.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
245,Why Tata do not launched Safari in black colour it  would totally looks like a beast😈,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0
246,Harrier win,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
251,Ayus bhai safari lena,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
258,Tata Harrier looks too incomplete Infront of Tata Safari 😂,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
259,"Like :- for Tata Safari 2021 
Comment :- for Tata harrier",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
260,I love harrier,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5
266,"Safari all wheel disc brakes 
Harrier front disc rear drum",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
267,Old Safari was legend. Im sad. I don't like it. It was a trademark. Look at Mahindra.. they kept Scorpio same.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
269,The leather color on the Harrier is better,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
270,Best harrier or Safari 🙄 which one choose,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
271,Do the harrier off roading video,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
273,Safari has IRA but harrier don't.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
277,What the ground clearance of Tata Safari?,0.0,0.0,0.0,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0,0.0,0.0
278,@bunnypunia kindly dont spread rumours. Even harrier have Auto dimming IRVM. kindly check your video at 5:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
279,wow looking beautyful nice new safari,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
280,Tata safari is best...King is back,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
282,"bro harrier now gets an auto dimming irvm in xza+, i have one myself lol",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
284,"Not happy with TATA MOTORS.
safari is just like newer model of harrier.
    They should have made much more differences between the two specially in the cosmetics.
Very dissapointed",0.0,0.0,0.2,0.2,0.0,0.4,0.0,0.0,0.0,0.2
285,"You should've compared the top model harrier with the safari. Harrier xz+ has auto dimming irvms, electronically adjustable seats and a panoramic sunroof. Get your facts right sir",0.0,0.0,0.125,0.375,0.0,0.5,0.0,0.0,0.0,0.0
287,U should have bought the bs6 Harrier.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
288,"Mothi sister ahe safari..
Bas itkach",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
289,When is petrol Harrier being launched?,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
290,Net net- safari nor worth the extra money?,0.0,0.125,0.125,0.125,0.125,0.375,0.0,0.0,0.0,0.125
291,Tata safari not so appealing.. Rather introduce another varient in harrier... Tata has taken wrong step,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
293,Harrier+seat in boot = safari 😎,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
294,I still go with Harrier..,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
296,Safari looks ungly,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
297,"tata nay desine me chutiya paa kar diya thoda ta or koi desine deyte safari he yaar.....  Tata done nothing-special for safari it can be desined in best segment for fight with other cars to grow in market... I love tata i support tata just giving my small correction on desine or new face lift 
This can be done for more great  looks for safari.... #saffari #madeinindia #safetycars 
#love Tata 
Tata loves the country by giving best product with quality and with great safty.",0.0625,0.0625,0.0625,0.0625,0.0,0.3125,0.25,0.0,0.0,0.1875
299,0 -100 test between harrier n safari to know the pickup due to extra weight added,0.1,0.0,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1
300,Harrier+ vs harrier,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
301,So the new safari is a 7 seater harrier?,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
302,Safari has different mkt segment compared to harrier . It is evident from you video as well,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0
304,"HARRIER :- range rove eqoue
Safari :- land rover discovery",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
305,That's just a Harrier 7 seater,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
308,i think tata has taken a wrong step by launching tata Safari almost identical to the harrier,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
309,Best review of Tata Safari today. All other reviewers crying safari is just a harrier+ but this guy nails it like a pro.,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0
311,Tata ne fail kardi Tata Safari Tata harrier ki copy,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
312,"Two minor correction, auto dimming mirror is there is Harrier but it comes in XZ/XZA+ only not in lower variant (not even in XZ and XZA). Mood lighting is not present at all in Harrier.",0.0,0.0,0.125,0.125,0.125,0.125,0.25,0.125,0.0,0.125
313,Wrong harrier have auto irvm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
315,Harrier looks more sportier 🔥🔥🔥,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
316,Harrier doesn't have mood lighting!,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
317,Sir I have booked a harrier xz plus. Should I change to safari xz plus what is your opinion,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
318,"Informative Video, The new Safari has now started appealing me more than the Harrier 😅",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
319,Top model harrier comes with a auto dimming rear view mirror.,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0
322,Safari's interior looks like it’s from a 40L car fr 👀,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0
